address	kind	section	name	demangled
01ef5840	data	.data	g_ALPHASORT_CurrentView	g_ALPHASORT_CurrentView
01e9d860	function	.text	tanf	tanf
01e7d450	function	.text	RENDEREFFECT_Reset__Fv	RENDEREFFECT_Reset(void)
01ec8400	function	.text	malloc	malloc
01e9dd20	function	.text	expf	expf
01e8edb8	function	.text	writeTexPSMT4__FiiiiiiPv	writeTexPSMT4(int, int, int, int, int, int, void *)
01e81a50	function	.text	GetMatrix__Q34scee3Psp3GumQ44scee3Psp2Gu11EMatrixType	scee::Psp::Gum::GetMatrix(scee::Psp::Gu::EMatrixType)
01ec8268	function	.text	vsnprintf	vsnprintf
01e90d38	function	.text	SND_LevelInit__Fv	SND_LevelInit(void)
01f01460	data	.data	skinnedmesh_vu_renderer_clip	skinnedmesh_vu_renderer_clip
01ebd980	function	.text	asyncPs2fioRead	asyncPs2fioRead
01e90928	function	.text	GLOBALWAD_FindGlobalSound__FUi	GLOBALWAD_FindGlobalSound(unsigned int)
01f06cb0	data	.data	shrub_vu_renderer_shadow	shrub_vu_renderer_shadow
01e627d0	function	.text	MEMCARD_SetDanSkinUnlocked__FUi	MEMCARD_SetDanSkinUnlocked(unsigned int)
01f01e90	data	.data	smesh_vu_renderer_nearclip	smesh_vu_renderer_nearclip
01ea6aa8	function	.text	BinkClose	BinkClose
01ea3f60	function	.text	scePadRead	scePadRead
01ef5710	data	.data	cur_MC	cur_MC
01e94220	function	.text	dlib_displist_qw__FP13DLIB_DISPLISTiP6QWdatai	dlib_displist_qw(DLIB_DISPLIST *, int, QWdata *, int)
01ef5718	data	.data	g_AspectRatioID	g_AspectRatioID
01e62878	function	.text	MEMCARD_GetHardcoreModeBit__FUi	MEMCARD_GetHardcoreModeBit(unsigned int)
01ec7458	function	.text	sscanf	sscanf
01e81bd8	function	.text	MatrixMode__Q34scee3Psp3GumQ44scee3Psp2Gu11EMatrixType	scee::Psp::Gum::MatrixMode(scee::Psp::Gu::EMatrixType)
01ef1055	data	.data	g_RENDEREFFECT_BLOOM_Intensity	g_RENDEREFFECT_BLOOM_Intensity
01ea42a8	function	.text	scePadSetActAlign	scePadSetActAlign
01ea6c68	function	.text	BinkWait	BinkWait
01e95a50	function	.text	snd_StreamSafeCheckCDIdle	snd_StreamSafeCheckCDIdle
01f00820	data	.data	skinnedmesh_vu_renderer_fast	skinnedmesh_vu_renderer_fast
01e8fee0	function	.text	GLOBALWAD_GetTransitionBank__FUi	GLOBALWAD_GetTransitionBank(unsigned int)
01ed0ee0	function	.text	FlushCache	FlushCache
01ea7378	function	.text	BinkSetMemory	BinkSetMemory
00008000	unmapped	None	_stack_size	_stack_size
01ff8000	unmapped	None	_stack	_stack
00008000	unmapped	None	_heap_size	_heap_size
01ff0000	unmapped	None	_end	_end
01e62508	function	.text	ENTRYPOINT	ENTRYPOINT
0018db00	unmapped	None	_code_size	_code_size
00100000	unmapped	None	_jmsheap_start	_jmsheap_start
01e62500	function	.text	_jmsheap_end	_jmsheap_end
01f0ad00	data	.sndata	sn_dll_header_root	sn_dll_header_root
01f300f0	data	.bss	_gp	_gp
01f28100	data	.bss	_fbss	_fbss
01fefaec	unmapped	None	end	end
01e627a0	function	.text	MEMCARD_Idle__Fv	MEMCARD_Idle(void)
01e628a8	function	.text	MEMCARD_GetWriteHeaderOnlyModeStatus__Fv	MEMCARD_GetWriteHeaderOnlyModeStatus(void)
01e62908	function	.text	MEMCARD_SetHeaderCreationDateDetail__FUi	MEMCARD_SetHeaderCreationDateDetail(unsigned int)
01e629d0	function	.text	MEMCARD_InitStateNode__FP19tMEMCARD_STATE_NODE	MEMCARD_InitStateNode(tMEMCARD_STATE_NODE *)
01e629e8	function	.text	MEMCARD_Init__FP12tMEMCARD_CMD	MEMCARD_Init(tMEMCARD_CMD *)
01f4a268	data	.bss	MEMCARD_sg_SaveIconData	MEMCARD_sg_SaveIconData
